date,ecomsa
1/10/1999,4476
1/1/2000,5691
1/4/2000,6465
1/7/2000,7419
1/10/2000,7840
1/1/2001,8135
1/4/2001,8336
1/7/2001,8335
1/10/2001,9314
1/1/2002,9904
1/4/2002,10742
1/7/2002,11543
1/10/2002,12231
1/1/2003,12738
1/4/2003,13773
1/7/2003,14833
1/10/2003,15588
1/1/2004,16697
1/4/2004,17519
1/7/2004,18506
1/10/2004,19631
1/1/2005,20801
1/4/2005,22233
1/7/2005,23653
1/10/2005,24364
1/1/2006,26417
1/4/2006,27367
1/7/2006,28842
1/10/2006,30138
1/1/2007,31728
1/4/2007,33524
1/7/2007,34841
1/10/2007,35784
1/1/2008,36012
1/4/2008,36509
1/7/2008,36287
1/10/2008,33051
1/1/2009,34127
1/4/2009,35279
1/7/2009,37400
1/10/2009,38117
1/1/2010,39284
1/4/2010,41301
1/7/2010,43469
1/10/2010,45076
1/1/2011,47041
1/4/2011,48864
1/7/2011,50207
1/10/2011,53217
1/1/2012,55316
1/4/2012,56593
1/7/2012,58589
1/10/2012,60884
1/1/2013,62310
1/4/2013,64071
1/7/2013,65982
1/10/2013,68408
1/1/2014,70372
1/4/2014,73396
1/7/2014,75811
1/10/2014,77724
1/1/2015,80365
1/4/2015,82996
1/7/2015,85775
1/10/2015,88482
1/1/2016,91385
1/4/2016,94381
1/7/2016,97174
1/10/2016,100449
1/1/2017,104503
1/4/2017,108728
1/7/2017,111854
1/10/2017,117867
1/1/2018,121808
1/4/2018,125257
1/7/2018,128222
1/10/2018,131668
1/1/2019,133162
1/4/2019,138200
1/7/2019,146201
1/10/2019,152210
1/1/2020,159853
,
,
,
,
,
,
,
,
,
,
,